STATISTIC,Statistic Label,TLIST(W1),Year,C03910V04662,Transport Traffic Site,C01198V01436,Weeks of the year,UNIT,VALUE
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,31,Week 31,Number,43459.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,32,Week 32,Number,38129.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,33,Week 33,Number,43811.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,34,Week 34,Number,43282.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,35,Week 35,Number,43934.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,36,Week 36,Number,44803.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,37,Week 37,Number,45076.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,38,Week 38,Number,46214.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,39,Week 39,Number,46030.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,40,Week 40,Number,46474.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,41,Week 41,Number,45906.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,42,Week 42,Number,46591.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,43,Week 43,Number,46845.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,44,Week 44,Number,41479.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,45,Week 45,Number,46947.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,46,Week 46,Number,46837.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,47,Week 47,Number,47281.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,48,Week 48,Number,48101.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,49,Week 49,Number,48718.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,50,Week 50,Number,49328.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,51,Week 51,Number,50049.0
